raw_id	env_package	attribute_name	harmonized_name	value
9540795		growth facility		glasshouse
9540796		growth facility		glasshouse
9540797		growth facility		glasshouse
9540798		growth facility		glasshouse
9540799		growth facility		glasshouse
9540800		growth facility		glasshouse
9540801		growth facility		glasshouse
9540802		growth facility		glasshouse
9540803		growth facility		glasshouse
9540804		growth facility		glasshouse
9540805		growth facility		glasshouse
9540806		growth facility		glasshouse
9540807		growth facility		glasshouse
9540808		growth facility		glasshouse
9540809		growth facility		glasshouse
9540810		growth facility		glasshouse
9540811		growth facility		glasshouse
9540812		growth facility		glasshouse
9540813		growth facility		glasshouse
9540814		growth facility		glasshouse
9540815		growth facility		glasshouse
9540816		growth facility		glasshouse
9540817		growth facility		glasshouse
9540818		growth facility		glasshouse
9540819		growth facility		glasshouse
9561701		growth facility		growth chamber
9561702		growth facility		growth chamber
9561703		growth facility		growth chamber
9561704		growth facility		growth chamber
9561705		growth facility		growth chamber
9561706		growth facility		growth chamber
9561707		growth facility		growth chamber
9561708		growth facility		growth chamber
9561709		growth facility		growth chamber
9561710		growth facility		growth chamber
9561711		growth facility		growth chamber
9561712		growth facility		growth chamber
9561713		growth facility		growth chamber
9561714		growth facility		growth chamber
9561715		growth facility		growth chamber
9561716		growth facility		growth chamber
9561717		growth facility		growth chamber
9561718		growth facility		growth chamber
9561719		growth facility		growth chamber
9561720		growth facility		growth chamber
9561721		growth facility		growth chamber
9561722		growth facility		growth chamber
9562386		growth facility		glasshouse
9562387		growth facility		glasshouse
9562388		growth facility		glasshouse
9562389		growth facility		glasshouse
9700602		growth facility		glasshouse
9700603		growth facility		glasshouse
9700604		growth facility		glasshouse
9867758		growth facility		growth chamber
10199187		growth facility		field
10199188		growth facility		field
10199189		growth facility		field
10199190		growth facility		field
10199191		growth facility		field
10199192		growth facility		field
10199193		growth facility		field
10199194		growth facility		field
10199195		growth facility		field
10199196		growth facility		field
10199197		growth facility		field
10199198		growth facility		field
10199199		growth facility		field
10199200		growth facility		field
10302984		growth facility		growth chamber
10302985		growth facility		growth chamber
10302986		growth facility		growth chamber
10302987		growth facility		growth chamber
10302988		growth facility		growth chamber
10302989		growth facility		growth chamber
10302990		growth facility		growth chamber
10302991		growth facility		growth chamber
10302992		growth facility		growth chamber
10302993		growth facility		growth chamber
10302994		growth facility		growth chamber
10302995		growth facility		growth chamber
10302996		growth facility		growth chamber
10302997		growth facility		growth chamber
10302998		growth facility		growth chamber
10302999		growth facility		growth chamber
10303000		growth facility		growth chamber
10303001		growth facility		growth chamber
10347638		growth facility		other
10411106		growth facility		experimental garden
10411107		growth facility		experimental garden
10411108		growth facility		experimental garden
10411109		growth facility		experimental garden
10411110		growth facility		experimental garden
10411111		growth facility		experimental garden
10411112		growth facility		experimental garden
10411113		growth facility		experimental garden
10411114		growth facility		experimental garden
10411115		growth facility		experimental garden
10427140		growth facility		glasshouse
10427141		growth facility		glasshouse
10427142		growth facility		glasshouse
10427143		growth facility		glasshouse
10427144		growth facility		glasshouse
10427145		growth facility		glasshouse
10427146		growth facility		glasshouse
10427147		growth facility		glasshouse
10427148		growth facility		glasshouse
10427149		growth facility		glasshouse
10427150		growth facility		glasshouse
10427151		growth facility		glasshouse
10427152		growth facility		glasshouse
10427153		growth facility		glasshouse
10427154		growth facility		glasshouse
10427155		growth facility		glasshouse
10427156		growth facility		glasshouse
10427157		growth facility		glasshouse
10427158		growth facility		glasshouse
10427159		growth facility		glasshouse
10427160		growth facility		glasshouse
10427161		growth facility		glasshouse
10427162		growth facility		glasshouse
10427163		growth facility		glasshouse
10427164		growth facility		glasshouse
10427165		growth facility		glasshouse
10427166		growth facility		glasshouse
10427167		growth facility		glasshouse
10427168		growth facility		glasshouse
10427169		growth facility		glasshouse
10427170		growth facility		glasshouse
10427171		growth facility		glasshouse
10427172		growth facility		glasshouse
10427173		growth facility		glasshouse
10427174		growth facility		glasshouse
10427175		growth facility		glasshouse
10427176		growth facility		glasshouse
10427177		growth facility		glasshouse
10427178		growth facility		glasshouse
10427179		growth facility		glasshouse
10427180		growth facility		glasshouse
10427181		growth facility		glasshouse
10427182		growth facility		glasshouse
10427183		growth facility		glasshouse
10427184		growth facility		glasshouse
10427185		growth facility		glasshouse
10427186		growth facility		glasshouse
10427187		growth facility		glasshouse
10427188		growth facility		glasshouse
10427189		growth facility		glasshouse
10427190		growth facility		glasshouse
10427191		growth facility		glasshouse
10427192		growth facility		glasshouse
10427193		growth facility		glasshouse
10427194		growth facility		glasshouse
10427195		growth facility		glasshouse
10427196		growth facility		glasshouse
10427197		growth facility		glasshouse
10427198		growth facility		glasshouse
10427199		growth facility		glasshouse
10427200		growth facility		glasshouse
10427201		growth facility		glasshouse
10427202		growth facility		glasshouse
10427203		growth facility		glasshouse
10427204		growth facility		glasshouse
10427205		growth facility		glasshouse
10427206		growth facility		glasshouse
10427207		growth facility		glasshouse
10427208		growth facility		glasshouse
10427209		growth facility		glasshouse
10427210		growth facility		glasshouse
10427211		growth facility		glasshouse
10427212		growth facility		glasshouse
10427213		growth facility		glasshouse
10427214		growth facility		glasshouse
10427215		growth facility		glasshouse
10427216		growth facility		glasshouse
10427217		growth facility		glasshouse
10427218		growth facility		glasshouse
10427219		growth facility		glasshouse
10427220		growth facility		glasshouse
10427221		growth facility		glasshouse
10427222		growth facility		glasshouse
10427223		growth facility		glasshouse
10427224		growth facility		glasshouse
10427225		growth facility		glasshouse
10427226		growth facility		glasshouse
10427227		growth facility		glasshouse
10427228		growth facility		glasshouse
10427229		growth facility		glasshouse
10427230		growth facility		glasshouse
10427231		growth facility		glasshouse
10427232		growth facility		glasshouse
10427233		growth facility		glasshouse
10427234		growth facility		glasshouse
10427235		growth facility		glasshouse
10514483		growth facility		growth chamber
10514486		growth facility		growth chamber
10514487		growth facility		growth chamber
10515596		growth facility		glasshouse
10515597		growth facility		glasshouse
10515598		growth facility		glasshouse
10515599		growth facility		glasshouse
10515600		growth facility		glasshouse
10515601		growth facility		glasshouse
10515602		growth facility		glasshouse
10515603		growth facility		glasshouse
10515604		growth facility		glasshouse
10515605		growth facility		glasshouse
10515606		growth facility		glasshouse
10515607		growth facility		glasshouse
10515608		growth facility		glasshouse
10515609		growth facility		glasshouse
10515610		growth facility		glasshouse
10515611		growth facility		glasshouse
10562111		growth facility		glasshouse
10562112		growth facility		glasshouse
10562113		growth facility		glasshouse
10562114		growth facility		glasshouse
10735395		growth facility		growth chamber
10735396		growth facility		growth chamber
10735397		growth facility		growth chamber
10735398		growth facility		growth chamber
10735399		growth facility		growth chamber
10735400		growth facility		growth chamber
10735401		growth facility		growth chamber
10735402		growth facility		growth chamber
10735403		growth facility		growth chamber
10735404		growth facility		growth chamber
10735405		growth facility		growth chamber
10735406		growth facility		growth chamber
12074594		growth facility		growth chamber
12074595		growth facility		growth chamber
12074596		growth facility		growth chamber
12074597		growth facility		growth chamber
12074598		growth facility		growth chamber
12074599		growth facility		growth chamber
12074600		growth facility		growth chamber
12074601		growth facility		growth chamber
12074602		growth facility		growth chamber
12074603		growth facility		growth chamber
12074604		growth facility		growth chamber
12074605		growth facility		growth chamber
12074606		growth facility		growth chamber
12074607		growth facility		growth chamber
12074608		growth facility		growth chamber
12074609		growth facility		growth chamber
12074610		growth facility		growth chamber
12074611		growth facility		growth chamber
12074612		growth facility		growth chamber
12074613		growth facility		growth chamber
12074614		growth facility		growth chamber
12074615		growth facility		growth chamber
12074616		growth facility		growth chamber
12074617		growth facility		growth chamber
12074618		growth facility		growth chamber
12074619		growth facility		growth chamber
12074620		growth facility		growth chamber
12074621		growth facility		growth chamber
12074622		growth facility		growth chamber
12074623		growth facility		growth chamber
12074624		growth facility		growth chamber
12074625		growth facility		growth chamber
12074626		growth facility		growth chamber
12074627		growth facility		growth chamber
12074628		growth facility		growth chamber
12074629		growth facility		growth chamber
12074630		growth facility		growth chamber
12074631		growth facility		growth chamber
12074632		growth facility		growth chamber
12074633		growth facility		growth chamber
12074634		growth facility		growth chamber
12074635		growth facility		growth chamber
12074636		growth facility		growth chamber
12074637		growth facility		growth chamber
12074638		growth facility		growth chamber
12074639		growth facility		growth chamber
