raw_id	env_package	attribute_name	harmonized_name	value
25530		sample collection device or method	samp_collect_device	nylon screen sampler
25531		sample collection device or method	samp_collect_device	Niskin bottle
25532		sample collection device or method	samp_collect_device	nylon screen sampler
25533		sample collection device or method	samp_collect_device	Niskin bottle
25534		sample collection device or method	samp_collect_device	nylon screen sampler
25535		sample collection device or method	samp_collect_device	Niskin bottle
26206	water	sample collection device or method	samp_collect_device	Bottle
26207	water	sample collection device or method	samp_collect_device	Bottle
26208	water	sample collection device or method	samp_collect_device	Bottle
26209	water	sample collection device or method	samp_collect_device	Bottle
26210	water	sample collection device or method	samp_collect_device	Bottle
26211	water	sample collection device or method	samp_collect_device	Bottle
26212	water	sample collection device or method	samp_collect_device	Bottle
26213	water	sample collection device or method	samp_collect_device	Bottle
26214	water	sample collection device or method	samp_collect_device	Bottle
26215	water	sample collection device or method	samp_collect_device	Bottle
26216	water	sample collection device or method	samp_collect_device	Bottle
26217	water	sample collection device or method	samp_collect_device	Bottle
26218	water	sample collection device or method	samp_collect_device	Bottle
26219	water	sample collection device or method	samp_collect_device	Bottle
26220	water	sample collection device or method	samp_collect_device	Bottle
26221	water	sample collection device or method	samp_collect_device	Bottle
26222	water	sample collection device or method	samp_collect_device	Bottle
26223	water	sample collection device or method	samp_collect_device	Bottle
26224	water	sample collection device or method	samp_collect_device	Bottle
26225	water	sample collection device or method	samp_collect_device	Bottle
26226	water	sample collection device or method	samp_collect_device	Bottle
26227	water	sample collection device or method	samp_collect_device	Bottle
26228	water	sample collection device or method	samp_collect_device	Bottle
26229	water	sample collection device or method	samp_collect_device	Bottle
26230	water	sample collection device or method	samp_collect_device	Bottle
26231	water	sample collection device or method	samp_collect_device	Bottle
26232	water	sample collection device or method	samp_collect_device	Bottle
112380		sample collection device or method	samp_collect_device	Bucket on a string
112381		sample collection device or method	samp_collect_device	Bucket on a string
112382		sample collection device or method	samp_collect_device	Bucket on a string
112383		sample collection device or method	samp_collect_device	Bucket on a string
112384		sample collection device or method	samp_collect_device	Bucket on a string
112385		sample collection device or method	samp_collect_device	Bucket on a string
112386		sample collection device or method	samp_collect_device	Bucket on a string
112387		sample collection device or method	samp_collect_device	Bucket on a string
112388		sample collection device or method	samp_collect_device	Bucket on a string
112389		sample collection device or method	samp_collect_device	Bucket on a string
112390		sample collection device or method	samp_collect_device	Bucket on a string
112391		sample collection device or method	samp_collect_device	Bucket on a string
112392		sample collection device or method	samp_collect_device	Bucket on a string
112393		sample collection device or method	samp_collect_device	Bucket on a string
112394		sample collection device or method	samp_collect_device	Bucket on a string
112395		sample collection device or method	samp_collect_device	Bucket on a string
119918		sample collection device or method	samp_collect_device	freeze dry
119919		sample collection device or method	samp_collect_device	fecal swab
119920		sample collection device or method	samp_collect_device	fecal swab
119921		sample collection device or method	samp_collect_device	fecal swab
119922		sample collection device or method	samp_collect_device	fecal swab
119923		sample collection device or method	samp_collect_device	fecal swab
119924		sample collection device or method	samp_collect_device	fecal swab
119925		sample collection device or method	samp_collect_device	freeze dry
119926		sample collection device or method	samp_collect_device	freeze dry
119927		sample collection device or method	samp_collect_device	fecal swab
120103	host-associated	sample collection device or method	samp_collect_device	Laser capture microdissection (LCM)
120104	host-associated	sample collection device or method	samp_collect_device	Laser capture microdissection (LCM)
138962		sample collection device or method	samp_collect_device	Manual pump
138963		sample collection device or method	samp_collect_device	Niskin bottle
138964		sample collection device or method	samp_collect_device	Manual pump
138965		sample collection device or method	samp_collect_device	Manual pump
138966		sample collection device or method	samp_collect_device	Niskin bottle
190738	soil	Sample collection device or method	samp_collect_device	Undisturbed core compost sample
190739	soil	Sample collection device or method	samp_collect_device	Undisturbed core compost sample
190740	soil	Sample collection device or method	samp_collect_device	Undisturbed core compost sample
190741	soil	Sample collection device or method	samp_collect_device	Undisturbed core compost sample
190742	soil	Sample collection device or method	samp_collect_device	Undisturbed core compost sample
190743	soil	Sample collection device or method	samp_collect_device	Undisturbed core compost sample
217504		sample collection device or method	samp_collect_device	nylon screen sampler
623069	miscellaneous natural or artificial environment	sample collection device or method	samp_collect_device	The kimchi contents were ?ltered through                     three layers of coarse gauze (Daehan, Republic of                     Korea) to remove only large kimchi particles, and                     the ?ltrates were pooled. The pH of each ?ltrate                     was measured immediately, and the ?ltrates were                     centrifuged (8,000 rpm for 20min at 4C) to harvest                     microorganisms. The pellets and supernatants were                     stored at 80°C for extraction of bulk genomic DNA                     and metabolite analysis, respectively.
623070	miscellaneous natural or artificial environment	sample collection device or method	samp_collect_device	The kimchi contents were ?ltered through                     three layers of coarse gauze (Daehan, Republic of                     Korea) to remove only large kimchi particles, and                     the ?ltrates were pooled. The pH of each ?ltrate                     was measured immediately, and the ?ltrates were                     centrifuged (8,000 rpm for 20min at 4C) to harvest                     microorganisms. The pellets and supernatants were                     stored at 80°C for extraction of bulk genomic DNA                     and metabolite analysis, respectively.
623071	miscellaneous natural or artificial environment	sample collection device or method	samp_collect_device	The kimchi contents were ?ltered through                     three layers of coarse gauze (Daehan, Republic of                     Korea) to remove only large kimchi particles, and                     the ?ltrates were pooled. The pH of each ?ltrate                     was measured immediately, and the ?ltrates were                     centrifuged (8,000 rpm for 20min at 4C) to harvest                     microorganisms. The pellets and supernatants were                     stored at 80°C for extraction of bulk genomic DNA                     and metabolite analysis, respectively.
623072	miscellaneous natural or artificial environment	sample collection device or method	samp_collect_device	The kimchi contents were ?ltered through                     three layers of coarse gauze (Daehan, Republic of                     Korea) to remove only large kimchi particles, and                     the ?ltrates were pooled. The pH of each ?ltrate                     was measured immediately, and the ?ltrates were                     centrifuged (8,000 rpm for 20min at 4C) to harvest                     microorganisms. The pellets and supernatants were                     stored at 80°C for extraction of bulk genomic DNA                     and metabolite analysis, respectively.
623073	miscellaneous natural or artificial environment	sample collection device or method	samp_collect_device	The kimchi contents were ?ltered through                     three layers of coarse gauze (Daehan, Republic of                     Korea) to remove only large kimchi particles, and                     the ?ltrates were pooled. The pH of each ?ltrate                     was measured immediately, and the ?ltrates were                     centrifuged (8,000 rpm for 20min at 4C) to harvest                     microorganisms. The pellets and supernatants were                     stored at 80°C for extraction of bulk genomic DNA                     and metabolite analysis, respectively.
623074	miscellaneous natural or artificial environment	sample collection device or method	samp_collect_device	The kimchi contents were ?ltered through                     three layers of coarse gauze (Daehan, Republic of                     Korea) to remove only large kimchi particles, and                     the ?ltrates were pooled. The pH of each ?ltrate                     was measured immediately, and the ?ltrates were                     centrifuged (8,000 rpm for 20min at 4C) to harvest                     microorganisms. The pellets and supernatants were                     stored at 80°C for extraction of bulk genomic DNA                     and metabolite analysis, respectively.
623075	miscellaneous natural or artificial environment	sample collection device or method	samp_collect_device	The kimchi contents were ?ltered through                     three layers of coarse gauze (Daehan, Republic of                     Korea) to remove only large kimchi particles, and                     the ?ltrates were pooled. The pH of each ?ltrate                     was measured immediately, and the ?ltrates were                     centrifuged (8,000 rpm for 20min at 4C) to harvest                     microorganisms. The pellets and supernatants were                     stored at 80°C for extraction of bulk genomic DNA                     and metabolite analysis, respectively.
