env_package	bacteria_carb_prod	count
		22339392
host-associated		77039
human-gut		60830
water		21267
miscellaneous natural or artificial environment		16433
soil		16352
human-skin		14771
built environment		14600
human-oral		11917
		9520
sediment		7590
human-associated		7148
plant-associated		3623
microbial mat_biofilm		3057
wastewater_sludge		1289
human-vaginal		1124
	NA	597
air		472
	not applicable	187
	not collected	106
	missing	55
	0.002 µgC/L/day	37
	0.003 µgC/L/day	19
	0.001 µgC/L/day	17
	0.008 µgC/L/day	15
water	112.48 pmol leu/L/hr	10
water	78.48 pmol leu/L/hr	10
	647 pmol leu/L/hr	10
	4886 pmol leu/L/hr	10
water	79.80 pmol leu/L/hr	10
water	139.68 pmol leu/L/hr	10
water	327.96 pmol leu/L/hr	10
water	16.11 pmol leu/L/hr	10
	0.011 µgC/L/day	10
	965 pmol leu/L/hr	7
	1079 pmol leu/L/hr	7
	0.192 µgC/L/day	6
	0.14 µgC/L/day	6
	1693 pmol leu/L/hr	6
	0.032 µgC/L/day	6
	0.034 µgC/L/day	6
	0.021 µgC/L/day	6
	0.007 µgC/L/day	6
	0.005 µgC/L/day	5
	0.023 µgC/L/day	5
	0.018 µgC/L/day	4
	1135 pmol leu/L/hr	4
	0.006 µgC/L/day	4
	0.37819472687577105	2
	0.45498419153318587	2
	0.5166686756751315	2
	0.5126164825098142	2
	0.5093698787758062	2
	0.5062882846985922	2
	0.5016094719714096	2
	0.48193942666750855	2
	0.466837330281145	2
	0.40726585337443605	2
	0.41762705907526826	2
	0.37548991466390963	2
	0.4057665465593926	2
	0.40402245526980274	2
	0.4015188946735598	2
	0.3693398245350252	2
	0.3954541852205041	2
	0.37298206908112336	2
	0.38660795967089867	2
	0.40283077253776706	2
	0.32896087008882263	2
	0.35895730022208705	2
	0.346243481630997	2
	0.2226560936149413	2
	0.2199858821776188	2
	0.21703023570309832	2
	0.2088239817274195	2
	0.2080106762926119	2
	0.20490466575774802	2
	0.20357901283876245	2
	0.20184561396936973	2
	0.1946573859369113	2
	0.18458833262978078	2
	0.17301260090016066	2
	0.17116681875858472	2
	0.17111252574609367	2
	0.16806728538836127	2
	0.1677063233347111	2
	0.16559028164643633	2
	0.1654301743178279	2
	0.22725584311865252	2
	0.2339339167051026	2
	0.24068466292168333	2
	0.28093663296626625	2
	0.335525943051841	2
	0.3320920541133725	2
	0.5464420430773946	2
	0.3256820834863102	2
	0.2855414676486196	2
	0.28448336816991865	2
	0.28431361528963756	2
	0.27700972311943095	2
	0.24368816117798642	2
	0.270402435884229	2
	0.2687674538300547	2
	0.2687351817162398	2
	0.26553945203745916	2
	0.25395791873286555	2
	0.25343674601149374	2
	0.24702168200559085	2
	0.5210769476509397	2
	0.2182438579542532	2
	0.5533911957567685	2
	0.9827427106257415	2
	0.9984263707300592	2
	0.9998056601655616	2
	1.0051571569179365	2
	1.0114310066089296	2
	1.0381758844997362	2
	1.0431089547483796	2
	1.070997765565859	2
	1.0924194784999852	2
	1.1021341575450636	2
	1.1246934428756965	2
	1.142457897299816	2
	1.2277236797320898	2
	1.2883879444899928	2
	1.298259151021229	2
	1.3669065009254862	2
	1.3917291837395187	2
	1.400648679091736	2
	1.4070199918132902	2
	1.4463412176747503	2
	1.4750825520160633	2
	1.4989493246043097	2
	1.5559800205069838	2
	1.5562085685747173	2
	1.5717316514461732	2
	1.584329276847562	2
	1.6036194200283311	2
	1.771041414607792	2
	N/A	2
	unknown	2
	0.9896429843106694	2
	0.9625964331880832	2
	0.5638710312307491	2
	0.9598186791276829	2
	0.575997456996127	2
	0.5859582519745784	2
	0.6099745040667713	2
	0.6162152985564137	2
	0.6490365515736374	2
	0.6547104460656384	2
	0.6621947610488558	2
	0.6910352151663762	2
	0.7039771206513475	2
	0.7179965600577323	2
	0.7493190705761374	2
	0.751282419886247	2
	0.7636506899205806	2
	0.15666763018280955	2
	0.7773263480901026	2
	0.7797329975151998	2
	0.7991551735874085	2
	0.8092006262634548	2
	0.8310671304243009	2
	0.8332627694173739	2
	0.8543143538532763	2
	0.8625874595922166	2
	0.8643402168674411	2
	0.865707032120403	2
	0.8899535059813827	2
	0.9323199704508159	2
	0.9324810767024232	2
	0.9518163471681957	2
	0.9522929687523353	2
	0.16362677873743972	2
	0.20459644854312214	2
	0.03187054440622189	2
	0.06361485374998355	2
	0.04073878138285659	2
	0.04129140556546901	2
	0.044106422270369566	2
	0.04514245940225788	2
