env_package	microbial_biomass	count
		22336634
host-associated		77039
human-gut		60830
water		21327
miscellaneous natural or artificial environment		16433
soil		16174
human-skin		14771
built environment		14600
human-oral		11917
		9520
sediment		7590
human-associated		7148
plant-associated		3623
microbial mat_biofilm		3111
wastewater_sludge		1289
human-vaginal		1124
air		472
	not applicable	414
	not collected	300
	2.362968555	2
	2.191500716	2
	2.36114831	2
	2.341675823	2
	2.335675602	2
	2.224219029	2
	497.25 mg C / kg dry soil	2
	2.075512756	2
	1245.75 mg C / kg dry soil	2
	5.874495598	2
	12.41244193	2
	5.863841194	2
	5.82893796	2
	5.822286715	2
	5.82016318	2
	5.809965978	2
	5.778479347	2
	5.77375682	2
	5.673392545	2
	1241.85 mg C / kg dry soil	2
	1242.22 mg C / kg dry soil	2
	5.656981767	2
	2.074515713	2
	5.6310933	2
	5.60481838	2
	5.596762732	2
	5.562056379	2
	5.547261196	2
	5.503263881	2
	5.50000157	2
	5.499663802	2
	13.90518661	2
	5.493078395	2
	1308.88 mg C / kg dry soil	2
	5.484197788	2
	5.888345429	2
	5.96*10^5	2
	1195.47 mg C / kg dry soil	2
	1188.12 mg C / kg dry soil	2
	510.78 mg C / kg dry soil	2
	1.978959561	2
	1.987514898	2
	1.993286182	2
	1.996651857	2
	10.20968363	2
	10.24775	2
	10.34006818	2
	1002.24 mg C / kg dry soil	2
	1028.65 mg C / kg dry soil	2
	509.84 mg C / kg dry soil	2
	1079.53 mg C / kg dry soil	2
	1085.16 mg C / kg dry soil	2
	1096.25 mg C / kg dry soil	2
	11.04407315	2
	11.10903504	2
	11.29517949	2
	505.23 mg C / kg dry soil	2
	502.77 mg C / kg dry soil	2
	11.56852071	2
	11.94158333	2
	5.986559306	2
	1132.46 mg C / kg dry soil	2
	5.985921426	2
	5.966317179	2
	5.479009605	2
	5.447675325	2
	1359.86 mg C / kg dry soil	2
	164.76 mg C / kg dry soil	2
	171.85 mg C / kg dry soil	2
	1747.94 mg C / kg dry soil	2
	486.68 mg C / kg dry soil	2
	178.21 mg C / kg dry soil	2
	485.88 mg C / kg dry soil	2
	484.13 mg C / kg dry soil	2
	482.43 mg C / kg dry soil	2
	18.3455545	2
	473.3 mg C / kg dry soil	2
	472.96 mg C / kg dry soil	2
	467.1 mg C / kg dry soil	2
	461.23 mg C / kg dry soil	2
	460.72 mg C / kg dry soil	2
	45.66 (mg 100g soil)	2
	2.002567911	2
	2.017969779	2
	2.019514627	2
	2.033616729	2
	2.051714809	2
	2.056290863	2
	2.061494866	2
	2.066113697	2
	447.74 mg C / kg dry soil	2
	2.072566811	2
	2.073075369	2
	2.64*10^6	2
	5.001012181	2
	5.395429033	2
	5.024012584	2
	5.337246126	2
	5.32081389	2
	5.317812936	2
	5.304821556	2
	5.29763574	2
	5.292988147	2
	5.284768787	2
	5.276579768	2
	5.269148688	2
	5.25606855	2
	5.236329408	2
	1436.84 mg C / kg dry soil	2
	5.234951396	2
	5.22512162	2
	5.20974115	2
	1487.35 mg C / kg dry soil	2
	5.143283069	2
	5.126548312	2
	5.11*10^6	2
	5.106543154	2
	5.087699719	2
	5.085308357	2
	5.072400868	2
	5.061647189	2
	16.26717299	2
	2.635475259	2
	2.866579926	2
	2.646155586	2
	3.123351044	2
	3.138423966	2
	3.141223965	2
	3.145582259	2
	3.154582899	2
	3.159115131	2
	3.16077694	2
	3.162429262	2
	3.174124369	2
	3.193817768	2
	3.211889919	2
	3.218394015	2
	3.222003364	2
	374.2 mg C / kg dry soil	2
	3.23658914	2
	3.241516627	2
	3.243279968	2
	3.256296834	2
	3.266653416	2
	3.276515029	2
	3.284233809	2
	3.29884795	2
	3.308750205	2
	3.318513816	2
	3.332240835	2
	3.33567964	2
	3.344684814	2
	3.359469408	2
	3.128716276	2
	3.107892543	2
	4.146471737	2
	3.10*10^6	2
	4.110056495	2
	4.108173397	2
	4.094994095	2
	4.092802634	2
	4.090642022	2
	4.080332342	2
	4.049175736	2
	4.047346502	2
	4.045652079	2
	4.035324548	2
	398.69 mg C / kg dry soil	2
	395.52 mg C / kg dry soil	2
	39.14 (mg 100g soil)	2
	27.93 (mg 100g soil)	2
	28.25 (mg 100g soil)	2
	28.50 (mg 100g soil)	2
	28.70245082	2
	387.18 mg C / kg dry soil	2
	38.32 (mg 100g soil)	2
	3.008691161	2
	3.013444639	2
	3.019816764	2
	3.03467183	2
	3.062620159	2
	3.063983417	2
	3.069382733	2
	3.099860881	2
	3.379500349	2
	3.389779423	2
	3.391589609	2
	3.402330204	2
	3.737719945	2
	3.74059082	2
	3.760595689	2
	3.789430968	2
	3.791761178	2
	356.29 mg C / kg dry soil	2
	3.819005984	2
	3.831400691	2
	352.42 mg C / kg dry soil	2
	3.838459302	2
	3.850319857	2
	3.862452246	2
	3.87*10^6	2
	3.874618806	2
	3.883149031	2
	3.886819174	2
	3.892953029	2
	3.893355548	2
	3.893961296	2
	3.981111495	2
	30.52928	2
	341.27 mg C / kg dry soil	2
	308.21 mg C / kg dry soil	2
	335.6 mg C / kg dry soil	2
	33.99 (mg 100g soil)	2
	311.97 mg C / kg dry soil	2
	317.54 mg C / kg dry soil	2
	3.716732251	2
	3.715377248	2
	3.7085297	2
	3.531514921	2
	3.413202311	2
	3.414491962	2
	3.423776921	2
	3.437303326	2
	3.44182958	2
	365.52 mg C / kg dry soil	2
	3.460713913	2
	3.473174346	2
	3.481699238	2
	3.486538232	2
	3.487607924	2
	3.50001154	2
	3.53753744	2
	3.686005182	2
	3.546231156	2
	3.550488212	2
	3.565262975	2
	3.578566647	2
	3.59013322	2
	3.599585033	2
	3.63*10^6	2
	3.631279195	2
	36.52 (mg 100g soil)	2
	3.65694471	2
	3.659656388	2
	3.663973369	2
	4.137753815	2
	4.15954015	2
	2.657075951	2
	2.839729053	2
	2.843425498	2
	2.844686353	2
	2.850997485	2
	2.855832719	2
	1.967460651	2
	2.871039333	2
	2.877162889	2
	2.877554604	2
	2.880985624	2
	2.885471895	2
	2.910358499	2
	2.915229124	2
	2.918759885	2
	402.93 mg C / kg dry soil	2
	2.92860724	2
	2.960869192	2
	2.96529939	2
	2.969889026	2
	402.22 mg C / kg dry soil	2
	2.974824632	2
	401.48 mg C / kg dry soil	2
	2.985658691	2
	2.994709377	2
	2.997010323	2
	4.997668462	2
	4.989340048	2
	4.978351315	2
	2.839936892	2
	2.802866073	2
	4.167028857	2
	2.796557618	2
	2.668837538	2
	2.674273837	2
	2.69152942	2
	2.696099043	2
	2.70614596	2
	412.59 mg C / kg dry soil	2
	2.718008233	2
	2.730945458	2
	2.731131358	2
	2.732355664	2
	2.734400706	2
	2.734666494	2
	2.740470609	2
	2.741045591	2
	2.744635892	2
	2.750370211	2
	2.760228425	2
	2.76281972	2
	2.764413553	2
	2.779419801	2
	2.782117658	2
	2.788822566	2
	2.79159013	2
	2.792454655	2
	2.793350203	2
	2.793704155	2
	2.794221113	2
	4.960495297	2
	4.954232298	2
	4.95035567	2
	4.950112363	2
	4.484142928	2
	23.08096	2
	4.473230662	2
	4.458144881	2
	4.422163089	2
	4.421893706	2
	4.405008644	2
	4.390788767	2
	4.387986499	2
	4.378760782	2
	4.370419642	2
	4.360331732	2
	4.35*10^6	2
	4.330605278	2
	230.75 mg C / kg dry soil	2
	4.299561666	2
	4.29829239	2
	4.285458331	2
	4.246821307	2
	4.222159228	2
	4.217263026	2
	4.205539663	2
	4.198071855	2
	4.194046032	2
	4.18*10^6	2
	4.177671807	2
	4.168345021	2
	4.50497011	2
	4.523121723	2
	4.53589074	2
	4.749977406	2
	202.97 mg C / kg dry soil	2
	4.947760097	2
	4.892632009	2
	4.83*10^5	2
	4.813723873	2
	210.41 mg C / kg dry soil	2
	4.799256266	2
	2136.71 mg C / kg dry soil	2
	4.786891208	2
	4.786200106	2
	4.783897354	2
	4.758729344	2
	4.735985625	2
	4.544028872	2
	22.13840831	2
	4.727527618	2
	22.42831061	2
	4.716971239	2
	4.696131964	2
	4.675256921	2
	4.62226627	2
	4.604497504	2
	4.584699911	2
	4.558662328	2
	221.67 mg C / kg dry soil	2
	4.547196562	2
	1.96902475	2
	5.235714574	2
	1.966327953	2
	6.009063294	2
	6.235466307	2
	0.805761494	2
	6.209410936	2
	6.180012615	2
	6.171043766	2
	6.146853555	2
	0.865402109	2
	6.118591066	2
	6.06087177	2
	0.918882006	2
	602.75 mg C / kg dry soil	2
	596.87 mg C / kg dry soil	2
	594.7 mg C / kg dry soil	2
	594.13 mg C / kg dry soil	2
	0.963729791	2
	592.11 mg C / kg dry soil	2
	0.977789907	2
	0.978494488	2
	0.993621008	2
	1.012405996	2
	6.248496466	2
	6.324702388	2
	0.772036076	2
	6.338453273	2
	6.766264286	2
	1.963345805	2
	6.691001927	2
	6.662455532	2
	0.67868061	2
	6.649204074	2
	6.638679498	2
	6.610714669	2
	0.716294043	2
	6.607772131	2
	0.721721136	2
	6.574873755	2
	6.559151508	2
	6.547626645	2
	6.528907765	2
	6.453383524	2
	6.434016696	2
	0.762461205	2
	6.4269692	2
	1.05754825	2
	1.06154713	2
	1.07115848	2
	1.273560364	2
	1.297052454	2
	1.30*10^7	2
	1.31*10^6	2
	1.312028403	2
	1.314219535	2
	1.322221713	2
	1.323199441	2
	1.328104484	2
	1.364634649	2
	1.374342096	2
	1.377559035	2
	1.38*10^6	2
	1.389273569	2
	1.393842384	2
	1.407966744	2
	1.40902516	2
	1.410240464	2
	1.411139122	2
	1.411555173	2
	554.45 mg C / kg dry soil	2
	1.273405259	2
	1.08*10^7	2
	1.27*10^7	2
	1.09*10^6	2
	569.95 mg C / kg dry soil	2
	1.10276318	2
	565.57 mg C / kg dry soil	2
	561.47 mg C / kg dry soil	2
	1.180994661	2
	56.86 (mg 100g soil)	2
	1.188444074	2
	1.192367035	2
	1.198907438	2
	1.205475281	2
	1.206728127	2
	1.207916047	2
	1.211130557	2
	56.04939705	2
	1.220750066	2
	1.224270285	2
	1.239298943	2
	1.250852579	2
	6.94156189	2
	61.46 (mg 100g soil)	2
	1.428967982	2
	8.03585806	2
	8.416259648	2
	8.377316548	2
	8.240254889	2
	8.136250252	2
	8.116946148	2
	8.102589822	2
	8.091706624	2
	8.068172123	2
	8.063305881	2
	799.73 mg C / kg dry soil	2
	613.59 mg C / kg dry soil	2
	799.64 mg C / kg dry soil	2
	773.12 mg C / kg dry soil	2
	771.43 mg C / kg dry soil	2
	762.93 mg C / kg dry soil	2
	762.49 mg C / kg dry soil	2
	761.99 mg C / kg dry soil	2
	759.88 mg C / kg dry soil	2
	757.74 mg C / kg dry soil	2
	750.38 mg C / kg dry soil	2
	8.557395477	2
	8.666251069	2
	8.737438384	2
	804.32 mg C / kg dry soil	2
	97.08 (mg 100g soil)	2
	967.82 mg C / kg dry soil	2
	958.51 mg C / kg dry soil	2
	945.82 mg C / kg dry soil	2
	930.19 mg C / kg dry soil	2
	929.14 mg C / kg dry soil	2
	9.354121898	2
	898.04 mg C / kg dry soil	2
	890.38 mg C / kg dry soil	2
	883.75 mg C / kg dry soil	2
	880.99 mg C / kg dry soil	2
	874.48 mg C / kg dry soil	2
	870.99 mg C / kg dry soil	2
	867.64 mg C / kg dry soil	2
	854.69 mg C / kg dry soil	2
	854.06 mg C / kg dry soil	2
	853.03 mg C / kg dry soil	2
	825.61 mg C / kg dry soil	2
	823.49 mg C / kg dry soil	2
	747.78 mg C / kg dry soil	2
	746.42 mg C / kg dry soil	2
	737.63 mg C / kg dry soil	2
	696.98 mg C / kg dry soil	2
	693.45 mg C / kg dry soil	2
	693.25 mg C / kg dry soil	2
	688.14 mg C / kg dry soil	2
	681.93 mg C / kg dry soil	2
	68.87 (mg 100g soil)	2
	679.32 mg C / kg dry soil	2
	679.22 mg C / kg dry soil	2
	677.89 mg C / kg dry soil	2
	676.64 mg C / kg dry soil	2
	674.77 mg C / kg dry soil	2
	670.42 mg C / kg dry soil	2
	662.92 mg C / kg dry soil	2
	652.52 mg C / kg dry soil	2
	652.36 mg C / kg dry soil	2
	642.48 mg C / kg dry soil	2
	642.23 mg C / kg dry soil	2
	635.17 mg C / kg dry soil	2
	628.98 mg C / kg dry soil	2
	622.95 mg C / kg dry soil	2
	693.81 mg C / kg dry soil	2
	7.058918594	2
	733.49 mg C / kg dry soil	2
	7.10095842	2
	727.77 mg C / kg dry soil	2
	725.21 mg C / kg dry soil	2
	723.11 mg C / kg dry soil	2
	718.31 mg C / kg dry soil	2
	715.58 mg C / kg dry soil	2
	706.34 mg C / kg dry soil	2
	7.912035587	2
	7.873876195	2
	7.680610341	2
	7.622928882	2
	7.619077492	2
	7.586632132	2
	7.555962825	2
	7.49613352	2
	7.475709404	2
	7.397865921	2
	7.370845082	2
	7.288842232	2
	7.131040197	2
	1.41412061	2
	6.757504698	2
	1.593344691	2
	1.555009777	2
	1.561062465	2
	1.884264581	2
	1.594203159	2
	1.874291492	2
	1.595119833	2
	1.873841446	2
	1.617199315	2
	1.872044827	2
	1.627681054	2
	1.634685887	2
	1.635098507	2
	1.637470014	2
	1.871445772	2
	1.870544068	2
	1.650880533	2
	540.59 mg C / kg dry soil	2
	1.553718674	2
	531.15 mg C / kg dry soil	2
	1.546331641	2
	1.927499653	2
	1.923276158	2
	515.04 mg C / kg dry soil	2
	1.905377644	2
	1.903614076	2
	1.502201573	2
	1.509525424	2
	1.51599762	2
	1.516964174	2
	1.897181007	2
	1.52704454	2
	1.894670728	2
	515.22 mg C / kg dry soil	2
	1.540771278	2
	1.54474087	2
	1.662442156	2
	1.670891165	2
	1.498802043	2
	1.730177177	2
	1.740211813	2
	1.742208874	2
	1.787423518	2
	1.742745036	2
	1.776739809	2
	1.753928628	2
	1.754238404	2
	1.756439687	2
	1.775988823	2
	1.775966905	2
	1.76*10^6	2
	1.760302285	2
	1.774493682	2
	1.761561999	2
	1.761786436	2
	1.730778345	2
	1.724320507	2
	1.673155341	2
	1.711336583	2
	1.673717741	2
	516.9 mg C / kg dry soil	2
	1.862708019	2
	1.859651637	2
	1.858415444	2
	1.85804142	2
	1.688987118	2
	1.841924569	2
	517.1 mg C / kg dry soil	2
	1.837970516	2
	1.689927002	2
	1.689957473	2
	1.804420213	2
	1.698199204	2
	1.79373283	2
	1.934000671	2
	1.767385861	2
	1.937812253	2
	1.452585954	2
	1.466141963	2
	1.937687186	2
	1.45966278	2
	1.457264734	2
	1.443229279	2
	1.455713112	2
	1.948932423	2
	512.35 mg C / kg dry soil	2
	1.939239841	2
	1.472374059	2
	1.45*10^6	2
	1.490505737	2
	1.477621861	2
	1.470946578	2
	74.89985813217953	1
	383.8191712473482	1
	384.05 mg/kg	1
	52.22218984210345	1
	384.2156157384594	1
	338.0493103012524	1
	333.43670542424206	1
	338.0026849778144	1
	384.3073238	1
	3842 mg C/kg soil	1
	388.2158300646689	1
	728.0538729900935	1
	Parthenium rhizosphere	1
	734.2497128	1
	386.3951526918401	1
	3863 mg C/kg soil	1
	383.6964248832328	1
	334 mg C/kg soil; 26 mg N/kg soil	1
	389.8544984865973	1
	732.115016	1
	731.163938	1
	389.1987894244704	1
	351.36512957361964	1
	5.967086615	1
	382.87630227585737	1
	382.56726078425663	1
	377.72642551224675	1
	767.243867	1
	34.22336656	1
	34.04971165	1
	50.86620856	1
	378.0210233706898	1
	338.98714843063544	1
	76.59103419	1
	76.10 mg/kg	1
	338.1112542559214	1
	378.3244966322297	1
	3795 mg C/kg soil	1
	3799 mg C/kg soil	1
	756.8996238081385	1
	756.644468	1
	38.08236667	1
	38.23226366	1
	754.5670540645273	1
	753.3359330000001	1
	5.98*10^5	1
	38.48224464	1
	38.67212253	1
	38.95746315	1
	38.97909049	1
	39.0450807	1
	39.01942265	1
	Sorghum mature rhizosphere	1
	39.06234096	1
	7.81*10^5	1
	702.2622630278961	1
	4.05*10^6	1
	4.07*10^5	1
	4.07*10^6	1
	7.94 *10^5	1
	33.64878253	1
	4.070733869	1
	7.93457051	1
	soil	1
	33.59281737	1
	33.50563259	1
	7.90 *10^5	1
	520.068474660015	1
	33.48418629	1
	708 mg C/kg soil	1
	soil bulk	1
	33.20972110323947	1
	33.16486592	1
	7.649633915	1
	3271 mg C/kg soil	1
	327.824074421601	1
	327.74891747406696	1
	326.85029186246356	1
	7.61*10^5	1
	326.6016629842329	1
	325.5725727	1
	324.6864077966116	1
	324.47621429311016	1
	52.86940557	1
	710 mg C/kg soil	1
	34.25284982	1
	394.19756091068086	1
	330.37860142233035	1
	Sorghum rhizosphere	1
	39.09599273	1
	722.1320810000001	1
	721.6899030000001	1
	52.70375632	1
	39.81247545	1
	391.2090362266681	1
	717.2167454183742	1
	391.861279292733	1
	392.0876927747958	1
	33.9046736	1
	392.4814678785939	1
	394.3873815	1
	710.6988284281696	1
	33.88241027	1
	395.75472	1
	396.5910189102222	1
	396.710410658914	1
	3963 mg C/kg soil	1
	3968 mg C/kg soil	1
	713.846973	1
	399.2962542155805	1
	33.85797691	1
	713.457913	1
	4.01*10^6	1
	4.03*10^5	1
	33.80191852	1
	50.88619405	1
	784.1680680000001	1
	773.038502	1
	820.536157	1
	90.16617739331022	1
	509.49773174278954	1
	36.79857841	1
	85.51218735	1
	845.787561	1
	839.6504600290803	1
	837 mg C/kg soil	1
	836.360045	1
	917 mg C/kg soil	1
	361.157898	1
	361.6551217289292	1
	928.656118	1
	508.1886680426384	1
	35.5427331	1
	80.85240523915797	1
	8.888426023814915	1
	364.8883548430942	1
	8.87 *10^5	1
	8.84*10^5	1
	8.775736965	1
	507.998226	1
	365.5402971240823	1
	8.717233792	1
	350.21621	1
	35.8403149	1
	8.701238016	1
	36.52385387	1
	515.0165314084668	1
	9.98*10^6	1
	87.49765871480476	1
	9.56*10^5	1
	9.514183594	1
	352.71457840524795	1
	352.7390728726013	1
	510.5329750000001	1
	354.0023265020958	1
	9.351327634	1
	9.20*10^6	1
	9.19*10^5	1
	3571 mg C/kg soil	1
	9.10*10^6	1
	358.9665696	1
	9.08*10^5	1
	9.04 *10^5	1
	36.02448828	1
	36.13138109	1
	9.02*10^6	1
	514.4119574998182	1
	51.76987388	1
	9.859536419	1
	36.2249404	1
	9.94 *10^5	1
	51.1319193	1
	9.945191351	1
	509.8568793086685	1
	3650 mg C/kg soil	1
	8.56 *10^5	1
	34.80754436	1
	8.02*10^6	1
	37.80961503	1
	8.098032226	1
	371.1548328743147	1
	344.3550469	1
	8.072107505	1
	373.0185740251708	1
	500.73781380791905	1
	343.90429128262485	1
	373.29956264694505	1
	500.6624850301894	1
	8.04*10^6	1
	513.1037931483445	1
	500.0794117016377	1
	366.2348382816132	1
	3747 mg C/kg soil	1
	795 mg C/kg soil	1
	375.9780738016091	1
	34.99189153	1
	793.279035	1
	79.6267291244202	1
	786.4181713526677	1
	9.82*10^6	1
	778.2460060000001	1
	773.8281609999999	1
	500.06474499999996	1
	377.1828055219254	1
	345.62757381474506	1
	346.0757483	1
	8.117103268	1
	37.45776806	1
	945 mg C/kg soil	1
	368.894270667817	1
	8.484447256	1
	368.9345585114981	1
	35.40589001	1
	369.34800297750274	1
	8.401933391	1
	35.3843912	1
	369.4813054	1
	35.12639317	1
	369.94 mg/kg	1
	507.82326600000005	1
	35.10577194	1
	349.44402177599784	1
	8.27*10^5	1
	348.6277303833984	1
	8.22*10^5	1
	37.22840292	1
	8.20*10^6	1
	8.188400914	1
	4.18 *10^5	1
	346.8009190916058	1
	37.22922195	1
	37.35456751	1
	516.7576703173443	1
	547.8504343926004	1
	521.716637	1
	7.53*10^6	1
	496.47 mg/kg	1
	497.8984864391234	1
	425.0034396051331	1
	58.680037165917994	1
	544.04 mg/kg	1
	426.1086089757635	1
	579.2596353178192	1
	578.963525	1
	577.3868663637379	1
	575.7992904285392	1
	496.58443271091716	1
	574.2948750247	1
	571.093071	1
	57.81394306	1
	4260 mg C/kg soil	1
	428.5 mg/kg	1
	58.87080544	1
	496.3665291	1
	429.24667200571577	1
	568.5296944747065	1
	43.24011996	1
	566.1395435808529	1
	43.47825899	1
	43.84531331	1
	430.1160415324362	1
	430.2554770919338	1
	431.6651570618951	1
	495.6177725455573	1
	565.4323169934462	1
	432.6464413187844	1
	565.3989857992194	1
	4981 mg C/kg soil	1
	580.3132086258837	1
	6.212729662	1
	42.5989314	1
	415.57704602090314	1
	6.20*10^5	1
	5.09*10^5	1
	541.2028371879369	1
	598.1168161328313	1
	598.0834605206297	1
	415.61520995702	1
	5.059071001990219	1
	5.03*10^6	1
	595.9407350309481	1
	594.4450163019961	1
	418.78813356768575	1
	419.14489062799447	1
	594.1995057187175	1
	5 *10^6	1
	582.617571	1
	42.95870565	1
	499.91 mg/kg	1
	59.40353753	1
	543.152	1
	420.28411773965115	1
	589.7926108578707	1
	589.7012987375366	1
	589.286843393311	1
	587.9241579999999	1
	420.4699988509052	1
	583.777404	1
	422.029982	1
	424.1844351934766	1
	582.6584352073634	1
	433.08303354786943	1
	436.26956900000005	1
	565.3816587911119	1
	549.4082856357492	1
	48.2947435	1
	447.23920054708117	1
	550.585810742829	1
	479.8867614988579	1
	478.2956353287882	1
	478.29338392443333	1
	545.8809829159475	1
	550.2645310133979	1
	476.82878921274386	1
	475.73664526353673	1
	550.1678180262767	1
	55.09580236	1
	448.7323446	1
	475.63851752263474	1
